Id;Costes (€);Inicio Real;Descripción;Nombre Centro;Tipo Trabajo;Equipo;Desc. Equipo;Desc. Estado;Urgencia;Especialidad;Contratista;Personal;Sector;Familia;Fecha cierre;Factura;Estado;Contrato;CCAA;Centro de Servicio;Fecha Planificada;Tipo de Trabajo
16423,000000000000000000;0;2025-05-16;toma de muestras ambientales Q4;HOSPITAL DE COSLADA;H001PREV;QFHIG004;CONTROL HIGIE. QUIRÓFANO 4;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;H001_FULAS;H001;H001QFHIG;2025-05-17;;80;41;Comunidad de Madrid;H001;2025-05-16;H001PREV
16423,000000000000000000;0;2025-05-16;toma de muestras ambientales Q4;HOSPITAL DE COSLADA;H001PREV;QFHIG004;CONTROL HIGIE. QUIRÓFANO 4;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;H001_FULFG;H001;H001QFHIG;2025-05-17;;80;41;Comunidad de Madrid;H001;2025-05-16;H001PREV
16423,000000000000000000;0;2025-05-16;toma de muestras ambientales Q4;HOSPITAL DE COSLADA;H001PREV;QFHIG004;CONTROL HIGIE. QUIRÓFANO 4;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;H001_FULCI;H001;H001QFHIG;2025-05-17;;80;41;Comunidad de Madrid;H001;2025-05-16;H001PREV
16423,000000000000000000;0;2025-05-16;toma de muestras ambientales Q4;HOSPITAL DE COSLADA;H001PREV;QFHIG004;CONTROL HIGIE. QUIRÓFANO 4;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;0;H001;H001QFHIG;2025-05-17;;80;41;Comunidad de Madrid;H001;2025-05-16;H001PREV
16423,000000000000000000;0;2025-05-16;toma de muestras ambientales Q4;HOSPITAL DE COSLADA;H001PREV;QFHIG004;CONTROL HIGIE. QUIRÓFANO 4;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;H001_FULJR;H001;H001QFHIG;2025-05-17;;80;41;Comunidad de Madrid;H001;2025-05-16;H001PREV
16422,000000000000000000;214,20000000000000000000000000;2025-05-16;Revision MENSUAL CLIMATIZACION  (>70 kW);SAN SEBASTIAN;PRV;902AAC;Climatizacion;Facturada;No Urgente;Sin Asignar;VEE01;0;JD2001;AAC;2025-06-02;FVR202518016408;90;8;País Vasco;902;2025-05-16;PRV
16421,000000000000000000;214,20000000000000000000000000;2025-05-16;Revision MENSUAL CLIMATIZACION  (>70 kW);LOGROÑO;PRV;700AAC;Climatizacion;Facturada;No Urgente;Sin Asignar;VEE01;0;JG2601;AAC;2025-05-28;FVR202518016408;90;8;La Rioja;700;2025-05-16;PRV
16417,000000000000000000;;2025-05-15;Avería del termostato de la máquina de hielo de rehabilitación;Sin Asignar;COR;GI-001;ASEPEYO;Pendiente;No Urgente;ELECTRICIDAD;H002_DOM;0;Sin Asignar;0;;;30;148;SIN ASIGNAR;0;2025-05-15;COR
16413,000000000000000000;189,17000000000000000000000000;2025-05-15;Écija - Persiana exterior, cierre del centro.;ECIJA;COR;020PUA;Accesos y Puertas Automáticas;Facturada;No Urgente;Sin Asignar;ALA01;0;KO4103;PUA;2025-10-03;833;90;62;Andalucía;020;2025-05-15;COR
16412,000000000000000000;289,97000000000000000000000000;2025-05-15;Revisar y Sellar los sanitarios del centro;ALICANTE;COR;400FON;Fontaneria;Facturada;Crítica;SANEAMIENTO;ELEC01;0;GC0301;FON;2025-05-20;6245015300;90;139;Comunidad Valenciana;400;2025-05-15;COR
16411,000000000000000000;26,000000000000000000000000000;2025-05-15;Sustitucion detector despacho 3;ALICANTE;COR;400PCI;PCI;Facturada;No Urgente;PCI;JOM04;0;GC0301;PCI;2025-05-15;4051716;90;9;Comunidad Valenciana;400;2025-05-15;COR
16410,000000000000000000;440,00000000000000000000000000;2025-05-15;Es necesario la revisión de las maquinas exteriores hace saltar el cuadro electrico.;VIC;COR;219AAC;Climatizacion;Facturada;No Urgente;Sin Asignar;CLE01;0;BT0811;AAC;2025-05-30;42-01-00000425F;90;7;Cataluña;219;2025-05-15;COR
16409,000000000000000000;1604,0000000000000000000000000;2025-05-15;Es necesario suministrar e instalar 5 pinguinos el dia 5 de junio, inicio obra sust. Maq. Ext. clima;VIC;COR;219AAC;Climatizacion;Facturada;No Urgente;Sin Asignar;CLE01;0;BT0811;AAC;2025-08-29;42-01-00001325F;90;7;Cataluña;219;2025-05-15;COR
16408,000000000000000000;54,300000000000000000000000000;2025-05-15;puerta acceso vic 2, revisada el viernes, no funciona;VIC 2;COR;220DIM;DIE - Mantenimiento;Facturada;No Urgente;VARIOS;NWC;0;BT0825;DEP;2025-07-21;F25_370;90;52;Cataluña;220;2025-05-15;COR
