Id;Costes (€);Inicio Real;Descripción;Nombre Centro;Tipo Trabajo;Equipo;Desc. Equipo;Desc. Estado;Urgencia;Especialidad;Contratista;Personal;Sector;Familia;Fecha cierre;Factura;Estado;Contrato;CCAA;Centro de Servicio;Fecha Planificada;Tipo de Trabajo
22562;49;04/08/2025;PUERTOLLANO_Revisión de puesto informático;PUERTOLLANO;COR;303TEL;Telecomunicaciones;Facturada;Urgente;COMUNICACIONES;ASIME;0;DQ1302;TEL;11/08/2025;FCTASM2501247;90;34;Castilla-La Mancha;303;04/08/2025;COR
22561;79,13;04/08/2025;PUERTOLLANO_Cerradura y marco roto puerta aseo;PUERTOLLANO;COR;303OBC;Reparaciones Generales [Obra Civil];Facturada;Urgente;CARPINTERIA;ELECNOR;0;DQ1302;OBC;15/09/2025;5955150400;90;35;Castilla-La Mancha;303;04/08/2025;COR
22537;214,2;03/08/2025;Revision MENSUAL CLIMATIZACION  (>70 kW);VITORIA;PRV;900AAC;Climatizacion;Facturada;No Urgente;Sin Asignar;VEE01;0;JB0102;AAC;18/08/2025;FVR202518023572;90;8;País Vasco;900;03/08/2025;PRV
22533;35,7;03/08/2025;Revision MENSUAL Autocontrol Temp Calidad Agua;FERROL;PRV;601DDD;DDD y Legionella;Facturada;No Urgente;Sin Asignar;VEE01;0;IE1502;DDD;01/09/2025;FVR202518023572;90;8;Galicia;601;03/08/2025;PRV
22520;145,9;03/08/2025;Revision TRIMESTRAL PCI;OURENSE;PRV;605PCI;PCI;Facturada;No Urgente;Sin Asignar;JOM03;0;II3201;PCI;04/08/2025;3051923_J;90;9;Galicia;605;03/08/2025;PRV
22519;178,5;03/08/2025;Revision TRIMESTRAL BT;VITORIA;PRV;900ELE;Electricidad;Facturada;No Urgente;Sin Asignar;VEE01;0;JB0102;ELE;18/08/2025;FVR202518023572;90;8;País Vasco;900;03/08/2025;PRV
22518;145,9;03/08/2025;Revision TRIMESTRAL PCI;TUDELA;PRV;851PCI;PCI;Facturada;No Urgente;Sin Asignar;JOM03;0;JS3102;PCI;24/09/2025;3052300_J;90;9;Comunidad Foral de Navarra;851;03/08/2025;PRV
22517;109,43;03/08/2025;Revision TRIMESTRAL PCI;PORTUGALETE;PRV;907PCI;PCI;Facturada;No Urgente;Sin Asignar;JOM03;0;JN4802;PCI;30/09/2025;3052301_J;90;9;País Vasco;907;03/08/2025;PRV
22516;145,9;03/08/2025;Revision TRIMESTRAL PCI;BERGARA;PRV;904PCI;PCI;Facturada;No Urgente;Sin Asignar;JOM03;0;JO2003;PCI;24/09/2025;3052301_J;90;9;País Vasco;904;03/08/2025;PRV
22515;109,43;03/08/2025;Revision TRIMESTRAL PCI;LLODIO;PRV;901PCI;PCI;Facturada;No Urgente;Sin Asignar;JOM03;0;JF0101;PCI;01/09/2025;3052301_J;90;9;País Vasco;901;03/08/2025;PRV
22514;35,7;03/08/2025;Revision MENSUAL Autocontrol Temp Calidad Agua;A CORUÑA;PRV;600DDD;DDD y Legionella;Facturada;No Urgente;Sin Asignar;VEE01;0;ID1501;DDD;05/09/2025;FVR202518023572;90;8;Galicia;600;03/08/2025;PRV
22513;127,5;03/08/2025;Revision MENSUAL ASCENSORES;COGULLADA;PRV;045ASC;Ascensores;Facturada;No Urgente;Sin Asignar;VEE01;0;FO5003;ASC;28/08/2025;FVR202518023572;90;8;Aragón;045;03/08/2025;PRV
22512;178,5;03/08/2025;Revision TRIMESTRAL BT;BILBAO;PRV;906ELE;Electricidad;Validada Gestor;No Urgente;Sin Asignar;VEE01;0;JL4801;ELE;07/08/2025;;80;8;País Vasco;906;03/08/2025;PRV
22511;142,8;03/08/2025;Revision TRIMESTRAL BT;AVILES;PRV;060ELE;Electricidad;Facturada;No Urgente;Sin Asignar;VEE01;0;LB3303;ELE;08/08/2025;FVR202518023572;90;8;Principado de Asturias;060;03/08/2025;PRV
22510;142,8;03/08/2025;Revision TRIMESTRAL BT;LUGO NUEVO;PRV;604ELE;Electricidad;Facturada;No Urgente;Sin Asignar;VEE01;0;IH2701;ELE;11/08/2025;FVR202518023572;90;8;Galicia;604;03/08/2025;PRV
22509;214,2;03/08/2025;Revision MENSUAL CLIMATIZACION  (>70 kW);A CORUÑA;PRV;600AAC;Climatizacion;Facturada;No Urgente;Sin Asignar;VEE01;0;ID1501;AAC;18/08/2025;FVR202518023572;90;8;Galicia;600;03/08/2025;PRV
22508;;03/08/2025;Revision SEMESTRAL PUERTAS AUTOMATICAS;UTEBO;PRV;046OBC;Reparaciones Generales [Obra Civil];Pendiente;No Urgente;Sin Asignar;VEE01;0;FR5004;OBC;;;30;53;Aragón;046;03/08/2025;PRV
22507;500;03/08/2025;Revision SEMESTRAL PUERTAS AUTOMATICAS;ZARAGOZA;PRV;044OBC;Reparaciones Generales [Obra Civil];Facturada;No Urgente;Sin Asignar;VEE01;0;FG5001;OBC;04/08/2025;FVR202518023571;90;53;Aragón;044;03/08/2025;PRV
22506;214,2;03/08/2025;Revision MENSUAL CLIMATIZACION  (>70 kW);OVIEDO;PRV;062AAC;Climatizacion;Facturada;No Urgente;Sin Asignar;VEE01;0;LD3302;AAC;14/08/2025;FVR202518023572;90;8;Principado de Asturias;062;03/08/2025;PRV
22505;214,2;03/08/2025;Revision MENSUAL CLIMATIZACION  (>70 kW);SANTIAGO DE COMPOSTELA;PRV;602AAC;Climatizacion;Facturada;No Urgente;Sin Asignar;VEE01;0;IP1503;AAC;25/08/2025;FVR202518023572;90;8;Galicia;602;03/08/2025;PRV
22504;214,2;03/08/2025;Revision MENSUAL CLIMATIZACION  (>70 kW);GIJON;PRV;061AAC;Climatizacion;Facturada;No Urgente;Sin Asignar;VEE01;0;LC3301;AAC;18/08/2025;FVR202518023572;90;8;Principado de Asturias;061;03/08/2025;PRV
22503;127,5;03/08/2025;Revision MENSUAL ASCENSORES;VIGO;PRV;607ASC;Ascensores;Facturada;No Urgente;Sin Asignar;VEE01;0;IM3601;ASC;26/08/2025;FVR202518027250;90;8;Galicia;607;03/08/2025;PRV
22499;301,45;02/08/2025;Revision BIMESTRAL CLIMATIZACION (<70 kW);SABADELL ANEXO;PRV;238AAC;Climatizacion;Facturada;No Urgente;Sin Asignar;CLE01;0;BQ0810;AAC;27/08/2025;42-01-00001125F;90;7;Cataluña;238;02/08/2025;PRV
